id;statutParrainage;filleulNom;filleulPrenom;filleulSexe;filleulDateDeNaissance;filleulAdresse;filleulEcole;filleulClasse;filleulSituationFamiliale;coordinateur;typeParrainage;parrainNom;parrainPrenom;parrainAdresse;parrainTelephone;parrainEmail;parrainModeDeVersement;remarque;suiviOctobre;suiviNovembre;suiviDecembre;suiviJanvier;suiviFevrier;suiviMars;suiviAvril;suiviMai;suiviJuin;suiviJuillet;suiviAout;suiviSeptembre;suiviOctobreLettre;suiviNovembreLettre;suiviDecembreLettre;suiviJanvierLettre;suiviFevrierLettre;suiviMarsLettre;suiviAvrilLettre;suiviMaiLettre;suiviJuinLettre;suiviJuilletLettre;suiviAoutLettre;suiviSeptembreLettre;suiviOctobrePhoto;suiviNovembrePhoto;suiviDecembrePhoto;suiviJanvierPhoto;suiviFevrierPhoto;suiviMarsPhoto;suiviAvrilPhoto;suiviMaiPhoto;suiviJuinPhoto;suiviJuilletPhoto;suiviAoutPhoto;suiviSeptembrePhoto;suiviOctobreNouvelle;suiviNovembreNouvelle;suiviDecembreNouvelle;suiviJanvierNouvelle;suiviFevrierNouvelle;suiviMarsNouvelle;suiviAvrilNouvelle;suiviMaiNouvelle;suiviJuinNouvelle;suiviJuilletNouvelle;suiviAoutNouvelle;suiviSeptembreNouvelle;suiviOctobreResultat;suiviNovembreResultat;suiviDecembreResultat;suiviJanvierResultat;suiviFevrierResultat;suiviMarsResultat;suiviAvrilResultat;suiviMaiResultat;suiviJuinResultat;suiviJuilletResultat;suiviAoutResultat;suiviSeptembreResultat
;URGENT;aaaaa;alex;F;01/01/1899;dd;fdqsg;3e;blablabla;WernerWeber;"Maison de Luc";Aber;Nfdsfq;;;nicolas.rizzon+1389767924886@gmail.com;;"Ce filleul est très gentil !!!";non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de virement";Abernathy;Okey;M;02/03/2018;;"Hauck Greens";jklbh5;"Voluptas cupiditate delectus et incidunt.";;Classique;Marquardt;Josefina;"604 Kyra Ports Apt. 710
Buckridgeton, ME 96269-4107";;nicolas.rizzon+8955@gmail.com;annuel;;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente d'espace FASOMA";Anderson;Malvina;;15/03/2011;;"Emil Extensions";3dsqf;"Cupiditate voluptatem est eum aliquam.";;Classique;Bayer;Consuelo;"4390 Wade Crossing Suite 428
Trompfort, NJ 12334-6754";;nicolas.rizzon+8132@gmail.com;mensuel;;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de parrain";Bernier;Stephon;;31/01/2010;;"Lorine Walk";3;"Ex et maiores esse ut quia nihil.";;Classique;;;;;;;;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En cours de parrainage";Blick;Edgardo;;12/10/2000;;"Itzel Stream";2sdgf;"Qui dolor ea eius qui.";;Classique;Haley;Maude;"920 Brenden Isle Suite 370
Danielshire, AK 91613-3090";;nicolas.rizzon+2359@gmail.com;annuel;;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de parrain";Boehm;Mariane;;26/10/2017;;"Ilene Tunnel";2fdqs;"Dolorum iusto perspiciatis aut tempora atque.";;Classique;Mohr;Korbin;"316 Torrance Mission
Clevelandport, ND 23797";;nicolas.rizzon+7882@gmail.com;annuel;;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de parrain";Boyle;Kaelyn;;05/05/2017;;"Rippin Spurs";2;"Minus provident quis aut libero labore occaecati ut.";;Classique;;;;;;;;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de parrain";Braun;Drew;;17/06/2004;;"Seamus Valleys";1;"Voluptatibus dolorum dicta ipsam numquam reiciendis at molestiae.";;Classique;Stamm;Stevie;"9067 McDermott Fields Apt. 965
East Destinimouth, CT 35713";;nicolas.rizzon+5130@gmail.com;semestriel;;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de parrain";Brown;Simone;;07/03/2014;;"Harry Curve";2;"Vitae voluptatem deleniti maiores deleniti omnis quae.";;Classique;Stanton;Freida;"267 Feil Flats Suite 166
Dachchester, MI 59622-1856";;nicolas.rizzon+95@gmail.com;annuel;;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
;"En attente de parrain";Brown;Birdie;;23/08/1998;;"Brakus Landing";5;"Possimus suscipit ab non suscipit.";;Classique;;;;;;;;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non
